firm,date,coins,usd_reserve,debt,pref_notional,shares_diluted,source
MSTR,2026-05-31,843706,900000000,5913659000,15466860500,362011561,8-K 000119312526249768; 10-Q 6/30 roll; R = USD Reserve only (USD Cash not disclosed)
MSTR,2026-06-07,845256,1000000000,6713659000,15466860500,358079637,8-K 000119312526260709; 10-Q 6/30 roll; R = USD Reserve only (USD Cash not disclosed)
MSTR,2026-06-14,846842,1100000000,6713659000,15466860500,359812190,8-K 000119312526270311; 10-Q 6/30 roll; R = USD Reserve only (USD Cash not disclosed)
MSTR,2026-06-21,847363,1400000000,6713659000,15466860500,362527029,8-K 000119312526276717; 10-Q 6/30 roll; R = USD Reserve only (USD Cash not disclosed)
MSTR,2026-06-28,847363,2550000000,6713659000,15466860500,375196046,8-K 000119312526286871; 10-Q 6/30 roll; R = USD Reserve only (USD Cash not disclosed)
MSTR,2026-06-30,846000,2550000000,6713659000,15466860500,375196046,"8-K 000119312526295586; 10-Q 6/30 roll; R not stated, carried from 8-K 000119312526286871"
MSTR,2026-07-05,843775,2550000000,6713659000,15466860500,375196046,8-K 000119312526295586; 10-Q 6/30 roll; R = USD Reserve only (USD Cash not disclosed)
MSTR,2026-07-12,843775,3000000000,6713659000,15466860500,380014827,8-K 000119312526301483; 10-Q 6/30 roll; R = USD Reserve only (USD Cash not disclosed)
MSTR,2026-07-19,843775,3225000000,6713659000,15466860500,382747145,8-K 000119312526308369; 10-Q 6/30 roll; R = USD Reserve only (USD Cash not disclosed)
MSTR,2026-07-26,843775,3750000000,6713659000,15437967500,388176305,8-K 000119312526316917; 10-Q 6/30 roll; R = USD Reserve only (USD Cash not disclosed)
MSTR,2026-08-02,842138,4000000000,6713659000,15346753200,391187666,8-K 000119312526329565; 10-Q 6/30 roll; R = USD Reserve only (USD Cash not disclosed)
MSTR,2026-08-09,840447,4650000000,6713659000,15231551200,397773348,8-K 000119312526341297; 10-Q 6/30 roll; R = USD Reserve only (USD Cash not disclosed)
MSTR,2026-08-16,840447,4800000000,6713659000,15092679200,401232214,8-K 000119312526353240; 10-Q 6/30 roll; R = USD Reserve only (USD Cash not disclosed)
MSTR,2026-08-23,840447,6690000000,6713659000,14949558000,419493332,8-K 000119312526361845; 10-Q 6/30 roll
MSTR,2026-08-30,845050,6710000000,6713659000,14793840300,424024753,8-K 000119312526375463; 10-Q 6/30 roll
MSTR,2026-09-07,845050,6540000000,6713659000,14612751800,424024753,8-K 000119312526384402; 10-Q 6/30 roll
MSTR,2026-09-13,845050,6400000000,6713659000,14470705100,424024753,8-K 000119312526389858; 10-Q 6/30 roll
MSTR,2026-09-20,846000,6090000000,5913659000,14293581300,429366277,8-K 000119312526396093; 10-Q 6/30 roll
