firm,week_end,filed,filing_url,coins,usd_reserve,usd_cash,reserve_in,reserve_out,usd_reserve_prec,usd_cash_prec
BMNR,2026-05-31,2026-06-01,https://www.sec.gov/Archives/edgar/data/1829311/000149315226026543/ex99-1.htm,5416901,446000000,,,,1000000,
BMNR,2026-06-07,2026-06-08,https://www.sec.gov/Archives/edgar/data/1829311/000149315226027647/ex99-1.htm,5543872,247000000,,,,1000000,
BMNR,2026-06-14,2026-06-15,https://www.sec.gov/Archives/edgar/data/1829311/000149315226028622/ex99-1.htm,5620754,502000000,,,,1000000,
BMNR,2026-06-21,2026-06-22,https://www.sec.gov/Archives/edgar/data/1829311/000149315226029507/ex99-1.htm,5672956,601000000,,,,1000000,
BMNR,2026-06-28,2026-06-29,https://www.sec.gov/Archives/edgar/data/1829311/000149315226030428/ex99-1.htm,5700040,555000000,,,,1000000,
BMNR,2026-07-05,2026-07-06,https://www.sec.gov/Archives/edgar/data/1829311/000149315226032090/ex99-1.htm,5742237,527000000,,,,1000000,
BMNR,2026-07-12,2026-07-13,https://www.sec.gov/Archives/edgar/data/1829311/000149315226032951/ex99-1.htm,5770038,482000000,,,,1000000,
BMNR,2026-07-19,2026-07-20,https://www.sec.gov/Archives/edgar/data/1829311/000149315226033855/ex99-1.htm,5777468,385000000,,,,1000000,
BMNR,2026-07-26,2026-07-27,https://www.sec.gov/Archives/edgar/data/1829311/000149315226034720/ex99-1.htm,5787414,268000000,,,,1000000,
BMNR,2026-08-02,2026-08-03,https://www.sec.gov/Archives/edgar/data/1829311/000149315226035752/ex99-1.htm,5797813,173000000,,,,1000000,
BMNR,2026-08-09,2026-08-10,https://www.sec.gov/Archives/edgar/data/1829311/000149315226036757/ex99-1.htm,5805238,104000000,,,,1000000,
BMNR,2026-08-16,2026-08-17,https://www.sec.gov/Archives/edgar/data/1829311/000149315226038652/ex99-1.htm,5815164,78000000,,,,1000000,
BMNR,2026-08-23,2026-08-24,https://www.sec.gov/Archives/edgar/data/1829311/000149315226039789/ex99-1.htm,5847611,308000000,,,,1000000,
BMNR,2026-08-30,2026-08-31,https://www.sec.gov/Archives/edgar/data/1829311/000149315226040741/ex99-1.htm,5901112,541000000,,,,1000000,
BMNR,2026-09-07,2026-09-08,https://www.sec.gov/Archives/edgar/data/1829311/000149315226041713/ex99-1.htm,5929198,593000000,,,,1000000,
BMNR,2026-09-13,2026-09-14,https://www.sec.gov/Archives/edgar/data/1829311/000149315226042492/ex99-1.htm,5956378,549000000,,,,1000000,
BMNR,2026-09-20,2026-09-21,https://www.sec.gov/Archives/edgar/data/1829311/000149315226043486/ex99-1.htm,5983940,714000000,,,,1000000,
MSTR,2026-05-31,2026-06-01,https://www.sec.gov/Archives/edgar/data/1050446/000119312526249768/mstr-20260530.htm,843706,900000000,,,,1000000,
MSTR,2026-06-07,2026-06-08,https://www.sec.gov/Archives/edgar/data/1050446/000119312526260709/mstr-20260504.htm,845256,1000000000,,,,100000000,
MSTR,2026-06-14,2026-06-15,https://www.sec.gov/Archives/edgar/data/1050446/000119312526270311/mstr-20260504.htm,846842,1100000000,,,,100000000,
MSTR,2026-06-21,2026-06-22,https://www.sec.gov/Archives/edgar/data/1050446/000119312526276717/mstr-20260504.htm,847363,1400000000,,,,100000000,
MSTR,2026-06-28,2026-06-29,https://www.sec.gov/Archives/edgar/data/1050446/000119312526286871/mstr-20260629.htm,847363,2550000000,,,,10000000,
MSTR,2026-06-30,2026-07-06,https://www.sec.gov/Archives/edgar/data/1050446/000119312526295586/mstr-20260706.htm,846000,,,,,,
MSTR,2026-07-05,2026-07-06,https://www.sec.gov/Archives/edgar/data/1050446/000119312526295586/mstr-20260706.htm,843775,2550000000,,,,10000000,
MSTR,2026-07-12,2026-07-13,https://www.sec.gov/Archives/edgar/data/1050446/000119312526301483/mstr-20260713.htm,843775,3000000000,,,,100000000,
MSTR,2026-07-19,2026-07-20,https://www.sec.gov/Archives/edgar/data/1050446/000119312526308369/mstr-20260720.htm,843775,3225000000,,,,1000000,
MSTR,2026-07-26,2026-07-27,https://www.sec.gov/Archives/edgar/data/1050446/000119312526316917/mstr-20260727.htm,843775,3750000000,,,,10000000,
MSTR,2026-08-02,2026-08-03,https://www.sec.gov/Archives/edgar/data/1050446/000119312526329565/mstr-20260803.htm,842138,4000000000,,250000000,,100000000,
MSTR,2026-08-09,2026-08-10,https://www.sec.gov/Archives/edgar/data/1050446/000119312526341297/mstr-20260810.htm,840447,4650000000,,650000000,,10000000,
MSTR,2026-08-16,2026-08-17,https://www.sec.gov/Archives/edgar/data/1050446/000119312526353240/mstr-20260817.htm,840447,4800000000,,149100000,,10000000,
MSTR,2026-08-23,2026-08-24,https://www.sec.gov/Archives/edgar/data/1050446/000119312526361845/mstr-20260824.htm,840447,5100000000,1590000000,300000000,,10000000,10000000
MSTR,2026-08-30,2026-08-31,https://www.sec.gov/Archives/edgar/data/1050446/000119312526375463/mstr-20260831.htm,845050,5100000000,1610000000,,,10000000,10000000
MSTR,2026-09-07,2026-09-08,https://www.sec.gov/Archives/edgar/data/1050446/000119312526384402/mstr-20260831.htm,845050,5100000000,1440000000,,,10000000,10000000
MSTR,2026-09-13,2026-09-14,https://www.sec.gov/Archives/edgar/data/1050446/000119312526389858/mstr-20260914.htm,845050,5100000000,1300000000,,,10000000,10000000
